Title;Author;Genre;Year;ISBN;Rating
The Testaments;not stated;Science Fiction, young adult fiction, dystopian fiction;2019;9780385543781;4
The Testaments;not stated;Science Fiction, young adult fiction, dystopian fiction;2019;9780385543781;4
The Lord of the Rings;J.R.R. Tolkien;the lord of the rings, Fiction, ficción;2005;9780618640157;9
1984;George Orwell;Dystopia, Political Fiction;1949;978-0451524935;9
Dune;Frank Herbert;Science Fiction, Fiction;1965;0441172717;8
Harry Potter and the Philosopher's Stone;J.K. Rowling;Fantasy, Fiction;1997;978-0747532699;10
Brave New World;Aldous Huxley;Dystopia, Science Fiction;1932;978-0060850524;8
To Kill a Mockingbird;Harper Lee;Fiction, Drama;1960;978-0446310789;9
The Hobbit;J.R.R. Tolkien;Fantasy, Children's Literature;1937;978-0547928227;8
Fahrenheit 451;Ray Bradbury;Dystopia, Science Fiction;1953;978-1451673319;7
Animal Farm;George Orwell;Political Satire, Fiction;1945;978-0451526342;8
The Catcher in the Rye;J.D. Salinger;Fiction, Coming-of-Age;1951;978-0316769488;7
The Great Gatsby;F. Scott Fitzgerald;Fiction, Classic;1925;978-0743273565;9
Pride and Prejudice;Jane Austen;Romance, Classic;1813;978-0141439518;8
The Chronicles of Narnia;C.S. Lewis;Fantasy, Children's Literature;1950;978-0066238500;9
Neuromancer;William Gibson;Cyberpunk, Science Fiction;1984;978-0441569595;7
The Shining;Stephen King;Horror, Fiction;1977;978-0307743657;8
It;Stephen King;Horror, Fiction;1986;978-1501142970;9
The Da Vinci Code;Dan Brown;Thriller, Mystery;2003;978-0307474278;7
Twilight;Stephenie Meyer;Romance, Fantasy;2005;978-0316015844;6
The Alchemist;Paulo Coelho;Fiction, Inspirational;1988;978-0062315007;7
not stated;not stated;not stated;;978-1234567890;
Ender's Game;Orson Scott Card;Science Fiction;1985;978-0812550702;8
A Game of Thrones;George R.R. Martin;action & adventure, american fantasy fiction, betrayal;1996;9780553103540;9
The Name of the Wind;Patrick Rothfuss;Fantasy;2007;978-0756404741;8
Mistborn;Brandon Sanderson;Fantasy, Fiction;2006;978-0765311788;9
The Wheel of Time;Robert Jordan;Fantasy, Epic;1990;978-0312850098;8
The Martian;Andy Weir;Science Fiction;2011;978-0553418026;9
Ready Player One;Ernest Cline;Science Fiction, Dystopia;2011;978-0307887443;8
The Hitchhiker's Guide to the Galaxy;Douglas Adams;Science Fiction, Humor;1979;978-0345391803;9
Jurassic Park;Michael Crichton;Science Fiction, Thriller;1990;978-0345538987;8
The Road;Cormac McCarthy;Post-Apocalyptic, Fiction;2006;978-0307387899;7
The Giver;Lois Lowry;Dystopia, Young Adult;1993;978-0544336261;8
The Fault in Our Stars;John Green;Young Adult, Romance;2012;978-0142424179;7
Divergent;Veronica Roth;Dystopia, Young Adult;2011;978-0062024039;8
The Perks of Being a Wallflower;Stephen Chbosky;Young Adult, Fiction;1999;978-1471116148;7
The Maze Runner;James Dashner;Dystopia, Young Adult;2009;978-0385737944;8
The Girl with the Dragon Tattoo;Stieg Larsson;Mystery, Thriller;2005;978-0307949486;9
Gone Girl;Gillian Flynn;Thriller, Mystery;2012;978-0307588371;8
The Silent Patient;Alex Michaelides;Thriller, Mystery;2019;978-1250301697;7
Where the Crawdads Sing;Delia Owens;Fiction, Mystery;2018;978-0735219090;9
The Night Circus;Erin Morgenstern;Fantasy, Fiction;2011;978-0385534635;8
A Game of Thrones;George R.R. Martin;Fantasy, Epic;1996;978-0553103540;9
The Shadow of the Wind;Carlos Ruiz Zafón;Mystery, Fiction;2001;978-0143034902;8
The Book Thief;Markus Zusak;Historical Fiction;2005;978-0375842207;9
The Ocean at the End of the Lane;Neil Gaiman;Fantasy, Fiction;2013;978-0062255655;8
not stated;Unknown Author;not stated;2000;not stated;
Educated;Tara Westover;Memoir, Non-Fiction;2018;978-0399590504;9
Becoming;Michelle Obama;Memoir, Non-Fiction;2018;978-1524763138;8
